Neuron_ID,Neuron_Label,A,Region_A,B,Region_B,C,Region_C
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0000947,aorta,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002348,epicardium,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002084,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002080,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002079,left cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002012,pulmonary artery,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-11,neuron type aacar 11,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002078,right cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-4,neuron type aacar 4,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0793555,Atrial intrinsic cardiac ganglion,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-4,neuron type aacar 4,http://purl.obolibrary.org/obo/UBERON_0001719,nucleus ambiguus,http://uri.interlex.org/base/ilx_0793555,Atrial intrinsic cardiac ganglion,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-4,neuron type aacar 4,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0793556,ventricular intrinsic cardiac ganglion,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-aacar-4,neuron type aacar 4,http://purl.obolibrary.org/obo/UBERON_0001719,nucleus ambiguus,http://uri.interlex.org/base/ilx_0793556,ventricular intrinsic cardiac ganglion,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-bolew-unbranched-10,neuron type bolew unbranched 10,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://uri.interlex.org/base/ilx_0738318,Epiglottic mechanoreceptors,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
