Location_ID,Location_Label,Connected_Region_ID,Connected_Region
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793641,Arteriole in circular muscle layer of descending colon
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793664,Arteriole in connective tissue of bladder dome
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793663,Arteriole in connective tissue of bladder neck
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793642,Arteriole in lamina propria of mucosa of descending colon
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793643,Arteriole in longitudinal muscle layer of descending colon
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793644,Arteriole in myenteric nerve plexus of descending colon
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793645,Arteriole in serosa of descending colon
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793646,Arteriole in submucous nerve plexus of descending colon
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0773760,Circular muscle layer of descending colon
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0738433,Dome of the Bladder
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0790472,Fourth lumbar ganglion
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793818,Intermediolateral nucleus of first lumbar segment
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://uri.interlex.org/base/ilx_0793819,Intermediolateral nucleus of second lumbar segment
http://purl.obolibrary.org/obo/UBERON_0005453,inferior mesenteric ganglion,http://purl.obolibrary.org/obo/UBERON_0006448,L1 segment of lumbar spinal cord
