Neuron_Connected,V1_ID,V1,V1_Type,V2_ID,V2,V2_Type,IsSynapse
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://purl.obolibrary.org/obo/UBERON_0006466,T10 segment of thoracic spinal cord,hasSomaLocation,http://uri.interlex.org/base/ilx_0793215,white communicating ramus of ninth thoracic spinal nerve,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://purl.obolibrary.org/obo/UBERON_0006466,T10 segment of thoracic spinal cord,hasSomaLocation,http://uri.interlex.org/base/ilx_0793216,white communicating ramus of tenth thoracic spinal nerve,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://purl.obolibrary.org/obo/UBERON_0006465,T9 segment of thoracic spinal cord,hasSomaLocation,http://uri.interlex.org/base/ilx_0793215,white communicating ramus of ninth thoracic spinal nerve,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://purl.obolibrary.org/obo/UBERON_0006465,T9 segment of thoracic spinal cord,hasSomaLocation,http://uri.interlex.org/base/ilx_0793216,white communicating ramus of tenth thoracic spinal nerve,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://uri.interlex.org/base/ilx_0793215,white communicating ramus of ninth thoracic spinal nerve,hasAxonLocation,http://uri.interlex.org/base/ilx_0789862,First lumbar ganglion,hasAxonTerminalLocation,YES
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://uri.interlex.org/base/ilx_0793215,white communicating ramus of ninth thoracic spinal nerve,hasAxonLocation,http://uri.interlex.org/base/ilx_0739295,Thirteenth thoracic ganglion,hasAxonTerminalLocation,YES
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://uri.interlex.org/base/ilx_0793215,white communicating ramus of ninth thoracic spinal nerve,hasAxonLocation,http://uri.interlex.org/base/ilx_0787009,Twelfth thoracic ganglion,hasAxonTerminalLocation,YES
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://uri.interlex.org/base/ilx_0793216,white communicating ramus of tenth thoracic spinal nerve,hasAxonLocation,http://uri.interlex.org/base/ilx_0789862,First lumbar ganglion,hasAxonTerminalLocation,YES
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://uri.interlex.org/base/ilx_0793216,white communicating ramus of tenth thoracic spinal nerve,hasAxonLocation,http://uri.interlex.org/base/ilx_0739295,Thirteenth thoracic ganglion,hasAxonTerminalLocation,YES
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/36,http://uri.interlex.org/base/ilx_0793216,white communicating ramus of tenth thoracic spinal nerve,hasAxonLocation,http://uri.interlex.org/base/ilx_0787009,Twelfth thoracic ganglion,hasAxonTerminalLocation,YES
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/37,http://uri.interlex.org/base/ilx_0789862,First lumbar ganglion,hasSomaLocation,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/37,http://uri.interlex.org/base/ilx_0739295,Thirteenth thoracic ganglion,hasSomaLocation,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/37,http://uri.interlex.org/base/ilx_0787009,Twelfth thoracic ganglion,hasSomaLocation,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/37,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,http://purl.obolibrary.org/obo/UBERON_0002119,left ovary,hasAxonTerminalLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/38,http://uri.interlex.org/base/ilx_0793822,Superior ovarian nerve,hasAxonLocation,http://purl.obolibrary.org/obo/UBERON_0002119,left ovary,hasAxonTerminalLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/38,http://uri.interlex.org/base/ilx_0793082,celiac ganglion- superior mesenteric ganglion complex,hasSomaLocation,http://uri.interlex.org/base/ilx_0793822,Superior ovarian nerve,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/39,http://purl.obolibrary.org/obo/UBERON_0006466,T10 segment of thoracic spinal cord,hasSomaLocation,http://purl.obolibrary.org/obo/UBERON_0018680,greater splanchnic nerve,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/39,http://purl.obolibrary.org/obo/UBERON_0006465,T9 segment of thoracic spinal cord,hasSomaLocation,http://purl.obolibrary.org/obo/UBERON_0018680,greater splanchnic nerve,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/39,http://purl.obolibrary.org/obo/UBERON_0018680,greater splanchnic nerve,hasAxonLocation,http://uri.interlex.org/base/ilx_0793082,celiac ganglion- superior mesenteric ganglion complex,hasAxonTerminalLocation,YES
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/40,http://uri.interlex.org/base/ilx_0793082,celiac ganglion- superior mesenteric ganglion complex,hasSomaLocation,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/40,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,http://purl.obolibrary.org/obo/UBERON_0002118,right ovary,hasAxonTerminalLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/40-1,http://uri.interlex.org/base/ilx_0789862,First lumbar ganglion,hasSomaLocation,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,NO
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/femrep/40-1,http://uri.interlex.org/base/ilx_0739295,Thirteenth thoracic ganglion,hasSomaLocation,http://uri.interlex.org/base/ilx_0793832,ovarian nerve plexus,hasAxonLocation,NO
